"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"NEPSE","2023-03-23","1933.11","1933.56","1905.96","1915.14","-0.94 %","1,413,172,802.50","-"
"NEPSE","2023-03-26","1915.32","1915.41","1881.07","1888.27","-1.40 %","1,289,371,531.03","-"
"NEPSE","2023-03-27","1885.65","1907.04","1864.91","1906","0.94 %","1,382,767,991.84","-"
"NEPSE","2023-03-28","1910.35","1936.48","1906.4","1918.1","0.63 %","1,443,713,878.31","-"
"NEPSE","2023-03-29","1920.09","1922.04","1901.62","1919.42","0.05 %","816,219,129.76","-"
"NEPSE","2023-03-30","1920.01","1932.68","1905.12","1908.55","-0.57 %","899,532,139.40","-"
"NEPSE","2023-04-02","1910.49","1928.66","1883.2","1888.55","-1.05 %","1,207,122,600.13","-"
"NEPSE","2023-04-03","1888.61","1892.03","1865.96","1871.88","-0.88 %","920,249,011.54","-"
"NEPSE","2023-04-04","1872.65","1880.46","1856.35","1866.68","-0.28 %","917,610,296.04","-"
"NEPSE","2023-04-05","1866.83","1878.77","1857.54","1875.07","0.45 %","816,046,790.00","-"
"NEPSE","2023-04-06","1875.88","1889.07","1863.66","1866.79","-0.44 %","920,686,094.33","-"
"NEPSE","2023-04-09","1867.47","1869.43","1833.68","1838.48","-1.52 %","1,159,448,411.72","-"
"NEPSE","2023-04-10","1837.65","1851.49","1833.08","1844.02","0.30 %","911,976,049.12","-"
"NEPSE","2023-04-11","1845.65","1872.11","1844.41","1871.33","1.48 %","945,249,179.36","-"
"NEPSE","2023-04-12","1871.46","1963.89","1871.46","1963.55","4.93 %","1,976,076,732.34","-"
"NEPSE","2023-04-13","1973.09","1981.87","1928.93","1934.47","-1.48 %","1,653,334,665.77","-"
"NEPSE","2023-04-16","1934.51","1945.05","1918.52","1931.68","-0.14 %","974,599,061.51","-"
"NEPSE","2023-04-17","1931.84","1937.65","1904.39","1908.04","-1.22 %","920,078,571.12","-"
"NEPSE","2023-04-18","1905.96","1911.51","1892.82","1904.98","-0.16 %","870,448,151.88","-"
"NEPSE","2023-04-19","1903.36","1924.4","1903.28","1920.12","0.79 %","872,141,116.12","-"
"NEPSE","2023-04-20","1918.49","1928.76","1902.15","1904.4","-0.82 %","983,367,311.00","-"
"NEPSE","2023-04-23","1904.94","1906.66","1881.15","1885.6","-0.99 %","828,534,036.34","-"
"NEPSE","2023-04-24","1885.77","1891.87","1875.14","1888.32","0.14 %","751,330,393.70","-"
"NEPSE","2023-04-25","1887.3","1905.73","1885.17","1905.68","0.92 %","885,578,270.76","-"
"NEPSE","2023-04-26","1907.54","1913.28","1888.89","1892","-0.72 %","847,028,219.41","-"
"NEPSE","2023-04-27","1892.94","1895.17","1880.25","1889.73","-0.12 %","739,650,247.50","-"
"NEPSE","2023-04-30","1889.41","1890.34","1867.73","1870.65","-1.01 %","954,322,377.94","-"
"NEPSE","2023-05-02","1871.63","1878.96","1860.43","1866.4","-0.23 %","692,271,755.19","-"
"NEPSE","2023-05-03","1866.6846","1868.35","1852.35","1857.23","-0.49 %","620,266,016.88","-"
"NEPSE","2023-05-04","1856.97","1875.26","1846.67","1869.73","0.69 %","732,689,811.89","-"
"NEPSE","2023-05-07","1870.41","1872.22","1848.8","1850.61","-1.02 %","608,135,094.13","-"
